Postcode,Apr 2011 - Mar 2012,Apr 2012 - Mar 2013,Apr 2013 - Mar 2014,Apr 2014 - Mar 2015,Apr 2015 - Mar 2016,% change 2015 - 2016
3516,26,55,253,36,32,-0.111111111
3517,76,94,89,66,121,0.833333333
3518,149,112,63,55,96,0.745454545
3520,17,16,11,27,32,0.185185185
3521,22,39,46,41,77,0.87804878
3522,11,28,37,25,27,0.08
3523,122,146,227,228,267,0.171052632
3525,84,87,41,54,59,0.092592593
3527,37,41,41,41,31,-0.243902439
3529,2,3,0,1,4,3
3530,2,0,2,2,2,0
3531,1,3,5,1,3,2
3533,37,44,25,22,26,0.181818182
3537,32,20,26,18,13,-0.277777778
3539,18,19,23,28,56,1
3540,6,39,38,19,14,-0.263157895
3542,5,1,3,5,3,-0.4
3544,6,10,13,14,8,-0.428571429
3546,49,26,38,44,45,0.022727273
3549,366,332,302,439,392,-0.107061503
3550,3667,4657,4840,4660,5157,0.106652361
3551,502,670,637,779,852,0.093709884
3555,1098,1230,1345,1548,1512,-0.023255814
3556,832,925,1199,1250,1159,-0.0728
3557,27,162,58,38,31,-0.184210526
3558,52,77,46,32,82,1.5625
3559,31,26,29,20,36,0.8
3561,213,255,173,228,231,0.013157895
3562,12,15,16,17,16,-0.058823529
3563,15,22,26,19,27,0.421052632
3564,1489,1590,1602,1821,1839,0.009884679
3565,6,8,5,5,8,0.6
3566,13,20,29,20,26,0.3
3567,15,43,14,28,31,0.107142857
3568,111,69,101,116,114,-0.017241379
3570,35,26,34,21,24,0.142857143
3571,11,9,23,10,11,0.1
3572,10,4,16,3,6,1
3573,13,21,16,10,24,1.4
3575,24,16,72,24,37,0.541666667
3576,1,0,0,1,1,0
3578,1,1,2,2,0,-1
3579,393,326,374,332,348,0.048192771
3580,11,9,26,42,40,-0.047619048
3581,31,25,17,10,11,0.1
3583,5,16,9,8,20,1.5
3584,24,45,48,48,28,-0.416666667
3585,1228,1206,1342,1522,1586,0.042049934
3586,8,17,21,23,35,0.52173913
3588,4,5,1,2,9,3.5
3589,17,22,21,16,19,0.1875
3590,2,10,12,7,5,-0.285714286
3591,0,1,4,0,1,-
3594,0,2,11,19,13,-0.315789474
3595,29,31,42,43,33,-0.23255814
3596,3,1,7,2,3,0.5
3597,16,11,13,19,13,-0.315789474
3599,5,3,1,12,9,-0.25
3607,5,5,6,42,8,-0.80952381
3608,154,146,114,141,207,0.468085106
3610,132,91,166,176,149,-0.153409091
3612,125,113,134,125,171,0.368
3614,28,21,29,36,29,-0.194444444
3616,370,260,292,238,297,0.24789916
3617,12,3,8,4,5,0.25
3618,31,16,25,25,31,0.24
3620,391,345,498,465,779,0.675268817
3621,92,88,80,109,96,-0.119266055
3622,5,17,14,13,17,0.307692308
3623,41,31,41,43,44,0.023255814
3624,8,24,22,28,38,0.357142857
3629,799,812,1098,1054,1221,0.158444023
3630,4493,4200,4666,5335,5402,0.012558575
3631,358,302,346,400,602,0.505
3633,21,26,23,18,23,0.277777778
3634,42,30,96,88,94,0.068181818
3635,12,12,16,22,23,0.045454545
3636,220,195,247,211,259,0.227488152
3637,15,23,15,9,15,0.666666667
3638,123,64,84,145,105,-0.275862069
3639,20,35,51,47,44,-0.063829787
3640,28,24,29,40,12,-0.7
3641,68,43,48,43,38,-0.11627907
3644,637,442,558,544,622,0.143382353
3646,29,13,39,23,14,-0.391304348
